trial_id,stimulus_id,condition,alpha,measure,value
ambiguous:user_ambiguous_049|alpha=15|measure=wager_abstention,ambiguous:user_ambiguous_049,ambiguous,15.0,wager_abstention,0.9998205304145813
definite_false:dpql_3827|alpha=15|measure=wager_abstention,definite_false:dpql_3827,definite_false,15.0,wager_abstention,0.053403329104185104
definite_correct:qw_45|alpha=15|measure=wager_abstention,definite_correct:qw_45,definite_correct,15.0,wager_abstention,0.8670357465744019
definite_false:bb_981|alpha=15|measure=wager_abstention,definite_false:bb_981,definite_false,15.0,wager_abstention,0.9933071732521057
definite_correct:dpql_6346|alpha=15|measure=wager_abstention,definite_correct:dpql_6346,definite_correct,15.0,wager_abstention,0.00033535013790242374
ambiguous:user_ambiguous_071|alpha=15|measure=wager_abstention,ambiguous:user_ambiguous_071,ambiguous,15.0,wager_abstention,0.9046505093574524
ambiguous:synthetic_ambiguity_77277aded01ef92e|alpha=15|measure=wager_abstention,ambiguous:synthetic_ambiguity_77277aded01ef92e,ambiguous,15.0,wager_abstention,0.999373733997345
ambiguous:user_ambiguous_035|alpha=15|measure=wager_abstention,ambiguous:user_ambiguous_035,ambiguous,15.0,wager_abstention,0.9992903470993042
definite_false:bb_1220|alpha=15|measure=wager_abstention,definite_false:bb_1220,definite_false,15.0,wager_abstention,0.9947799444198608
definite_false:qw_1298|alpha=15|measure=wager_abstention,definite_false:qw_1298,definite_false,15.0,wager_abstention,0.9971990585327148
ambiguous:ambigqa_train_-5746040628732928353|alpha=15|measure=wager_abstention,ambiguous:ambigqa_train_-5746040628732928353,ambiguous,15.0,wager_abstention,0.9995694756507874
ambiguous:user_ambiguous_019|alpha=15|measure=wager_abstention,ambiguous:user_ambiguous_019,ambiguous,15.0,wager_abstention,0.3775406777858734
definite_false:qb_7085|alpha=15|measure=wager_abstention,definite_false:qb_7085,definite_false,15.0,wager_abstention,0.9046505093574524
definite_false:bb_2489|alpha=15|measure=wager_abstention,definite_false:bb_2489,definite_false,15.0,wager_abstention,0.04742587357759476
definite_correct:qw_6782|alpha=15|measure=wager_abstention,definite_correct:qw_6782,definite_correct,15.0,wager_abstention,0.0008040859247557819
definite_correct:bb_2326|alpha=15|measure=wager_abstention,definite_correct:bb_2326,definite_correct,15.0,wager_abstention,5.829126530443318e-05
definite_correct:qb_3516|alpha=15|measure=wager_abstention,definite_correct:qb_3516,definite_correct,15.0,wager_abstention,0.7310585975646973
ambiguous:user_ambiguous_043|alpha=15|measure=wager_abstention,ambiguous:user_ambiguous_043,ambiguous,15.0,wager_abstention,0.9992903470993042
